Constituency,Raila,Ruto,Mwaure,Wajackoyah,ValidVotes
Webuye West,10876,25095,179,222,36372
Webuye East,13720,16412,110,249,30491
Kimilili,14119,22954,130,254,37457
Tongaren,20890,25845,315,213,47263
Sirisia,11736,16848,,,28584
Mt Elgon,5650,48656,148,149,54603
Kanduyi,30933,38486,,,69419
Kabuchai,10680,32221,193,385,43479
Bumula,22177,28968,213,358,51716
Baringo North,901,36895,,,37796
Baringo Central,1656,33162,26,62,34906
Baringo South,7351,25533,41,90,33015
Eldama Ravine,5122,42118,72,114,47426
Mogotio,982,30824,34,69,31909
Tiaty,25286,5721,29,105,31141
Bomet Central,2024,55486,55,105,57670
Bomest East,1769,47987,38,107,49901
Chepalungu,5009,58827,54,142,64032
Konoin,2164,56262,36,98,58560
Sotik,2417,66866,51,109,69443
Budalangi,20180,11361,46,157,31744
Butula,40161,3663,65,278,44167
Funyula,29826,7163,83,239,37311
Matayos,34916,8700,60,207,43883
Nambale,28363,5086,55,182,33686
Teso North,32176,6760,85,181,39202
Teso South,40695,6094,80,162,47031
Keiyo North,1266,37337,30,32,38665
Keiyo South,1611,46436,30,55,48132
Marakwet East,735,31880,29,42,32686
Marakwet West,1290,44439,31,47,45807
Manyatta,8480,58151,,,66631
Mbeere North,3942,37807,,,41749
Mbeere South,13978,36317,141,357,50793
Runyenjes,5069,56599,,,61668
Balambala,5714,7854,12,73,13653
Dadaad,21106,497,,,21603
Fafi,,,,,0
Garissa Town,11743,6342,,,18085
Ijara,18214,1367,7,56,19644
Lagdera,12712,2043,,,14755
Homabay Town,43075,638,12,134,43859
Kabondo Kasipul,42088,260,16,66,42430
Karachuonyo,68340,648,7,88,69083
Kasipul,48164,407,27,122,48720
Ndiwa,70311,460,29,123,70923
Rangwe,42308,319,,,42627
Suba North,44684,308,,,44992
Suba South,39190,435,,,39625
Isiolo North,19740,22845,40,140,42765
Isiolo South,6696,9455,12,33,16196
Central,28468,22865,50,107,51490
East,40775,28472,,,69247
North,35868,41723,396,365,78352
South,23614,27333,147,114,51208
West,28979,27861,,,56840
Butere,34044,6202,99,327,40672
Ikolomani,24278,8868,53,192,33391
Kwisero,27997,5201,76,235,33509
Likuyani,32618,9301,108,177,42204
Lugari,36606,15025,133,295,52059
Lurambi,36216,14494,99,264,51073
Malava,29172,27739,,,56911
Matungu,35136,12010,124,608,47878
Mumias East,19467,10839,67,235,30608
Mumias West,25079,5926,67,254,31326
Navakholo,24690,14579,123,267,39659
Shinyalu,32446,10853,96,212,43607
Ainamoi,5802,57059,,,62861
Belgut,2140,55631,30,76,57877
Bureti,1426,76331,40,97,77894
Kepkelion East,3303,43898,33,43,47277
