COUNTY,REG_VOTERS,TURNOUT,WSR_VOTES,RAO_VOTES,WAJAKOYAH,MWAURE
MOMBASA,641913,276025,113299,160572,1814,466
KWALE,328253,178247,52000,124701,1110,428
KILIFI,588602,284619,77222,203632,2510,1035
TANA RIVER,141096,92405,41203,50626,403,143
LAMU,81453,50094,22635,26117,844,184
TAITA TAVETA,181827,111410,29099,81183,825,257
GARISSA,201473,108912,27424,81006,398,65
WAJIR,207758,126340,47547,77761,763,260
MANDERA,217030,133607,28220,104441,690,251
MARSABIT,166912,114834,58808,55566,306,149
ISIOLO,89504,59194,32409,26540,172,49
MERU,772139,504527,397344,103358,2778,1019
THARAKA NITHI,231932,161646,145053,15090,981,472
EMBU,334302,220791,187834,31066,1314,515
KITUI,532758,328099,89143,234604,2834,1390
MACHAKOS,687565,409582,101446,304138,2901,1064
MAKUENI,479401,290585,59135,229052,1836,552
NYANDARUA,361165,240632,189518,49217,1073,820
NYERI,481632,326392,272181,51888,1333,982
KIRINYAGA,376001,260595,220259,37680,1314,626
MURANGA,620929,420201,342696,73465,1939,1742
KIAMBU,1275008,824456,605928,210204,4375,3794
TURKANA,238528,142410,46384,95284,447,260
WEST POKOT,220026,173686,109940,63147,373,189
SAMBURU,100014,70206,28128,41794,215,60
TRANS NZOIA,398981,250712,116322,132654,886,409
UASIN GISHU,506138,349160,272384,75770,598,393
ELGEYO MARAKWET,213884,165289,160069,4892,180,120
NANDI,406288,306657,280146,25796,432,279
BARINGO,281053,216256,174356,41066,482,214
LAIKIPIA,263012,169112,119236,48828,601,442
NAKURU,1054856,685203,454921,225473,2450,1800
NAROK,398784,306775,147537,158579,430,221
KAJIADO,463273,307950,148283,157981,922,670
KERICHO,428067,333684,318109,14963,385,206
BOMET,376985,298495,283510,13985,781,219
KAKAMEGA,844551,503296,140983,357649,3432,1212
VIHIGA,310043,184658,67800,114893,1466,498
BUNGOMA,646598,403186,254959,144290,2377,1505
BUSIA,416756,276953,48866,226152,1375,533
SIAYA,533595,376360,4318,370838,728,232
KISUMU,606754,430059,9921,419112,744,246
HOMABAY,551071,402549,3472,398479,695,132
MIGORI,469019,347483,52660,293760,776,288
KISII,637010,402170,134722,264903,1682,749
NYAMIRA,323283,208214,78313,128603,872,341
NAIROBI,2415310,1337223,559191,766837,5829,4411
DIASPORA,10443,5991,2180,3736,40,35
PRISON,7483,3120,1226,1888,6,0
