County,Constituency,Code,RegisteredVoters,Raila,Ruto,Mwaure,Wajackoyah
Baringo,Baringo North,158,50287,923,37635,16,56
Baringo,Baringo Central,159,45949,1656,33162,26,62
Baringo,Baringo South,160,42791,7351,25533,41,90
Baringo,Eldama Ravine,162,64099,5122,42118,72,114
Baringo,Mogotio,161,38922,982,30824,34,49
Baringo,Tiaty,157,39059,25286,5721,29,105
Bomet,Bomet Central,197,71409,2024,55486,55,105
Bomet,Bomet East,196,63661,1769,47987,38,107
Bomet,Chepalungu,195,80140,5009,58827,54,142
Bomet,Konoin,198,75115,2164,56262,36,98
Bomet,Sotik,194,86698,2417,66866,51,109
Bungoma,Bumula,219,82047,22177,28968,213,358
Bungoma,Kabuchai,218,67221,10798,32216,192,271
Bungoma,Kanduyi,220,118347,30926,38384,204,413
Bungoma,Kimilili,223,61587,14119,22954,130,234
Bungoma,Mt. Elgon,216,76159,5650,48656,148,149
Bungoma,Sirisia,217,48717,11992,17392,123,168
Bungoma,Tongaren,224,,,,,
Bungoma,Webuye East,221,48950,13720,16412,110,249
Bungoma,Webuye West,222,58632,10876,25095,179,222
Busia,Budalangi,231,46032,20180,11361,46,157
Busia,Butula,229,67377,40161,3663,65,278
Busia,Funyula,230,54031,29826,7163,83,239
Busia,Matayos,228,67770,34916,8700,60,207
Busia,Nambale,227,50545,28363,5086,55,182
Busia,Teso North,225,59795,32176,6760,85,181
Busia,Teso South,226,71268,40695,6094,80,162
Diaspora,,,,,,,
Elgeyo/marakwet,Keiyo North,149,49267,1266,37337,30,32
Elgeyo/marakwet,Keiyo South,150,62397,1611,46436,30,55
Elgeyo/marakwet,Marakwet East,147,43672,735,31880,29,42
Elgeyo/marakwet,Marakwet West,148,58568,1290,44439,31,47
Embu,Manyatta,63,106970,8537,59855,163,381
Embu,Mbeere North,66,55124,3407,34000,117,253
Embu,Mbeere South,65,77264,13978,36317,141,357
Embu,Runyenjes,64,95326,5191,57695,104,397
Garissa,Balambala,28,26085,5714,7854,12,73
Garissa,Dadaab,30,,,,,
Garissa,Fafi,31,,,,,
Garissa,Garissa Township,27,53293,16925,8031,18,112
Garissa,Ijara,32,29666,18214,1367,7,56
Garissa,Lagdera,29,,,,,
Homa Bay,Homa Bay Town,249,58375,43075,638,12,134
Homa Bay,Kabondo Kasipul,246,59910,42088,260,16,66
Homa Bay,Karachuonyo,247,94181,68340,648,7,88
Homa Bay,Kasipul,245,67397,48164,407,27,122
Homa Bay,Ndhiwa,250,,,,,
Homa Bay,Rangwe,248,,,,,
Homa Bay,Suba North,251,60674,45041,309,10,62
Homa Bay,Suba South,252,,,,,
Isiolo,Isiolo North,49,67354,19740,22845,40,140
Isiolo,Isiolo South,50,22181,6696,9455,12,33
Kajiado,Kajiado Central,184,65866,28468,22585,50,107
Kajiado,Kajiado East,185,,,,,
Kajiado,Kajiado North,183,134880,35868,41723,396,365
Kajiado,Kajiado South,187,71064,23614,27333,147,114
Kajiado,Kajiado West,186,,,,,
Kakamega,Butere,207,70224,34044,6202,99,327
Kakamega,Ikolomani,210,56299,24278,8868,53,192
Kakamega,Khwisero,208,55091,27997,5201,76,235
Kakamega,Likuyani,200,71778,32618,9301,108,177
Kakamega,Lugari,199,86908,36606,15025,133,295
Kakamega,Lurambi,202,89770,36216,14494,99,264
Kakamega,Malava,201,94417,29088,27152,180,370
Kakamega,Matungu,206,73930,35136,12010,124,608
Kakamega,Mumias East,205,50568,19482,10844,65,236
Kakamega,Mumias West,204,53317,25079,5926,67,254
Kakamega,Navakholo,203,64743,24690,14579,123,267
Kakamega,Shinyalu,209,76993,32446,10853,96,212
Kericho,Ainamoi,190,85246,5722,57059,49,95
Kericho,Belgut,192,75175,2140,55631,30,76
Kericho,Bureti,191,95320,1426,76331,40,97
Kericho,Kipkelion East,188,63679,3303,43898,33,43
Kericho,Kipkelion West,189,52960,1771,40056,29,51
Kericho,Sigowet/soin,193,55909,695,45886,26,32
Kiambu,Gatundu North,112,71810,8745,40310,136,203
Kiambu,Gatundu South,111,79860,12290,41712,223,311
Kiambu,Githunguri,116,104592,13429,58343,270,296
Kiambu,Juja,113,134638,23200,62193,351,501
Kiambu,Kabete,119,91775,15640,44186,371,460
Kiambu,Kiambaa,118,104268,18879,48357,347,381
Kiambu,Kiambu,117,87076,14760,41050,318,318
Kiambu,Kikuyu,120,98758,16877,47145,429,438
Kiambu,Lari,122,81196,9162,47315,170,209
Kiambu,Limuru,121,93019,14498,46051,297,314
Kiambu,Ruiru,115,172139,32959,68695,483,543
Kiambu,Thika Town,114,156037,29954,60728,409,436
Kilifi,Ganze,15,67257,30402,6985,194,381
Kilifi,Kaloleni,13,73009,25011,11788,174,360
Kilifi,Kilifi North,11,,,,,
Kilifi,Kilifi South,12,97696,32548,10978,111,340
Kilifi,Magarini,17,80295,30568,11049,220,403
Kilifi,Malindi,16,94605,27676,13841,107,308
Kilifi,Rabai,14,59165,18645,9700,115,288
Kirinyaga,Gichugu,101,92495,9216,55744,181,354
Kirinyaga,Kirinyaga Central,103,82111,8978,48645,129,296
Kirinyaga,Mwea,100,131788,12912,75070,184,476
Kirinyaga,Ndia,102,69743,6872,41293,151,232
Kisii,Bobasi,264,106060,50206,16824,115,320
Kisii,Bomachoge Borabu,263,,,,,
Kisii,Bomachoge Chache,265,49301,23419,9223,51,96
Kisii,Bonchari,261,64630,27960,12127,79,159
Kisii,Kitutu Chache North,268,56970,18649,15594,94,154
Kisii,Kitutu Chache South,269,66908,30923,9734,57,172
Kisii,Nyaribari Chache,267,88654,32216,21366,98,260
Kisii,Nyaribari Masaba,266,68593,26096,16240,112,195
Kisii,South Mugirango,262,79004,30496,21289,92,227
Kisumu,Kisumu Central,240,130149,79955,4458,60,210
Kisumu,Kisumu East,238,93177,63454,1324,50,113
Kisumu,Kisumu West,239,,,,,
Kisumu,Muhoroni,243,79859,56714,2025,34,78
Kisumu,Nyakach,244,,,,,
Kisumu,Nyando,242,80757,59994,397,25,65
Kisumu,Seme,241,62045,46077,247,20,56
